source_dataset,target_dataset,task,path
raw.adSellOut.year2021,clean.adSellOut2021,SellOutCurrentTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/years/SellOutCurrentTask.scala
raw.adSellOut.year2021,clean.adSellOutRejected2021,SellOutCurrentTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/years/SellOutCurrentTask.scala
yearLink.goodDate,cleanLink,SellOutHeritageTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/years/SellOutHeritageTask.scala
yearLink.goodDate,rejectedLink,SellOutHeritageTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/years/SellOutHeritageTask.scala
raw.beadbarCodeScanLog,clean.beadbarCodeScanLog,BeadbarCodeScanLogTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aws/beadbarcodescanlog/BeadbarCodeScanLogTask.scala
manual.commercial.ihsCpi,clean.commercial.ihsCpi,IhsCpiTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsCpiTask.scala
manual.commercial.ihsCpi,clean.commercial.ihsCpiRejected,IhsCpiTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsCpiTask.scala
manual.commercial.ihsGdp,clean.commercial.ihsGdp,IhsGdpTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsGdpTask.scala
manual.commercial.ihsGdp,clean.commercial.ihsGdpRejected,IhsGdpTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsGdpTask.scala
manual.commercial.ihsMei,clean.commercial.ihsMei,IhsMeiTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsMeiTask.scala
